Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,1526705529135.32,1646867220617.47,1712510030034.05
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,11137945669350.6,12143491448186.1,13608151864637.9
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,311988119339.251,329865553842.833,352058410508.345
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,2471285607081.72,2586285406561.51,2777535239277.98
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Rep.",KOR,1414804158515.26,1530750923148.7,1619423701169.63
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,1282723881083.71,1578624060588.26,1657553765580.67
GDP (current US$),NY.GDP.MKTP.CD,Singapore,SGP,318068476293.883,338406474038.67,364156657769.87
GDP (current US$),NY.GDP.MKTP.CD,Thailand,THA,412352789519.611,455275517239.347,504992757704.997
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,18707188235000,19485393853000,20494100000000
Surface area (sq. km),AG.SRF.TOTL.K2,Canada,CAN,9984670,9984670,9984670
Surface area (sq. km),AG.SRF.TOTL.K2,China,CHN,9562910,9562910,9562910
Surface area (sq. km),AG.SRF.TOTL.K2,Denmark,DNK,42920,42920,42920
Surface area (sq. km),AG.SRF.TOTL.K2,France,FRA,549086.9921875,549086.9921875,549086.9921875
Surface area (sq. km),AG.SRF.TOTL.K2,"Korea, Rep.",KOR,100339.00390625,100339.00390625,100339.00390625
Surface area (sq. km),AG.SRF.TOTL.K2,Russian Federation,RUS,17098250,17098250,17098250
Surface area (sq. km),AG.SRF.TOTL.K2,Singapore,SGP,719.000015258789,719.000015258789,719.000015258789
Surface area (sq. km),AG.SRF.TOTL.K2,Thailand,THA,513120,513120,513120
Surface area (sq. km),AG.SRF.TOTL.K2,United States,USA,9831510,9831510,9831510
"Population, total",SP.POP.TOTL,Canada,CAN,36109487,36540268,37058856
"Population, total",SP.POP.TOTL,China,CHN,1378665000,1386395000,1392730000
"Population, total",SP.POP.TOTL,Denmark,DNK,5728010,5764980,5797446
"Population, total",SP.POP.TOTL,France,FRA,66859768,66865144,66987244
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51245707,51466201,51635256
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144342396,144496740,144478050
"Population, total",SP.POP.TOTL,Singapore,SGP,5607283,5612253,5638676
"Population, total",SP.POP.TOTL,Thailand,THA,68971331,69209858,69428524
"Population, total",SP.POP.TOTL,United States,USA,323071342,325147121,327167434
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 09/19/2019,,,,,,
